VIN,Year,Make,Model,Trim,Price,Miles
5TDESKFC8TS21C048,2026,Toyota,Sienna,Platinum,62803,0
1FTFW4L55TFA54743,2026,Ford,F-150,Tremor,73828,0
5GAEVBKWXLJ247904,2020,Buick,Enclave,Premium,26949,44090
5XYZW4LA8FG246007,2015,Hyundai,Santa Fe,Sport 2.0T,13988,83216
KM8R5DHE4LU161959,2020,Hyundai,Palisade,Limited,24068,92788
JM1GJ1W51G1485564,2016,Mazda,MAZDA6,i Grand Touring,13991,94947
4T1C11BK6MU026384,2021,Toyota,Camry,LE,23495,24036
1C6SRFJPXTN179255,2026,RAM,Ram 1500 Pickup,Laramie,65260,121
5XYPEES12VG022652,2027,Kia,Telluride,S,44921,17
WBAGV4C01TCX57699,2026,BMW,8 Series,840i,103120,4
WBS33HK04TCW12729,2026,BMW,M4 Coupe,M4,101253,19
3GCUKEED7TG347801,2026,Chevrolet,Silverado 1500,RST,57438,3
1HGCV1F18MA036377,2021,Honda,Accord,LX,21698,61450
3GNKBKRS3MS585956,2021,Chevrolet,Blazer,RS,27411,59756
5GAEVCKS8TJ229436,2026,Buick,Enclave,Avenir,62433,3
5XYRKDJF3TG467441,2026,Kia,Sorento,X-Line SX Prestige,45240,12
1FMCU0E14TUA01924,2026,Ford,Escape Plug-in hybrid,PHEV,32208,10
1FMDE6AH6TLA86990,2026,Ford,Bronco 2-Door,Base,41426,10
KMHL24JJ9TA141116,2026,Hyundai,Sonata Hybrid,Blue,29640,13
3N8AP6CB1TL410334,2026,Nissan,KICKS,SV AWD,29190,0
KL77LFEP2TC057248,2026,Chevrolet,Trax,LS,23625,5
SALYL2EX5TA818424,2026,Land Rover,Range Rover Velar,Dynamic SE,null,10204
3C4NJDCN7PT509873,2023,Jeep,Compass,Limited,25149,24074
1C6RR7GG8RS129895,2024,RAM,Ram 1500 Classic,SLT,28978,45319
3GNAXTEG7TL428329,2026,Chevrolet,Equinox,RS,37212,10
7FARS4H78TE009713,2026,Honda,CR-V,EX-L,38805,5
KL47LAEP8TB182034,2026,Buick,Envista,Preferred,27274,4
1GTRUCEK0TZ339557,2026,GMC,Sierra 1500,Elevation,45500,5
KMHRC8A36TU455806,2026,Hyundai,Venue,SEL,24669,10
1FMEE0RRXTLA64618,2026,Ford,Bronco 4-Door,Raptor,85867,2
YV4H60PE2T1454183,2026,Volvo,XC90,Plus,80875,3
5FNYG1H7XTB015018,2026,Honda,Pilot,Touring,54445,110
4JGFB4FB4SB480082,2025,Mercedes-Benz,GLE,GLE350,52635,11127
1C4SDJCT2PC581115,2023,Dodge,Durango,R/T,46000,9429
5N1DR3CC3SC221832,2025,Nissan,Pathfinder,SL,36971,24040
1GTUUCED7TZ291776,2026,GMC,Sierra 1500,Elevation,57200,0
1C6PJTAG9TL168724,2026,Jeep,Gladiator,Sahara,51028,5
JM3KFBCM5S0772196,2025,Mazda,CX-5,S Preferred package,34617,11
1FA6P8TH4M5152934,2021,Ford,Mustang,EcoBoost Premium,26888,37803
WBAGV4C03TCU96365,2026,BMW,8 Series,840i,86577,6551
1C4RJKBG8P8794199,2023,Jeep,Grand Cherokee L,Limited,34411,39144
4T1DBADK7SU541700,2025,Toyota,Camry,SE,32000,15452
JM1BPABLXT1886263,2026,Mazda,Mazda3,Select Sport,27602,0
1FMCU9JA7TUA18467,2026,Ford,Escape,Platinum,32165,157
JTEVA5BR2T5111910,2026,Toyota,4Runner,TRD Sport,51845,null
W1Y4KCHY7TT612136,2026,Mercedes-Benz,Sprinter Cargo Van,Base,65367,5
1FTBR2C8XPKA33064,2023,Ford,Transit Van,Base,38378,66783
WBA8D9C57HK677983,2017,BMW,3 Series,330i,15378,79741
2GNALCEK9G6197055,2016,Chevrolet,Equinox,LT,8900,112878
JM3KMDHA8T0101557,2026,Mazda,CX-5,S Premium,39585,8
KNAG64J74T5496103,2026,Kia,K5,GT-Line,31253,null
KMHLM4DG1TU211314,2026,Hyundai,Elantra,SEL Sport,25926,10
3HDSA2H79TM702210,2026,Acura,ADX,A-spec w/Advance Package,46450,9
5J8YD8H80TL004540,2026,Acura,MDX,Type S w/Advance Package,78312,null
5TDEBRCH4TS21A225,2026,Toyota,Highlander,Platinum,56018,0
1C4PJXDNXTW154288,2026,Jeep,Wrangler 4-Door,Sport S,42584,226
1G1FZ6S00P4134325,2023,Chevrolet,Bolt EUV,Premier,24048,21597
JN8BT3CB1PW182169,2023,Nissan,Rogue,SL,26408,29188
3GTNUAEK4TG170484,2026,GMC,Sierra 1500,Pro,41834,1982
ZN6PMDBA4R7456621,2024,Maserati,Grecale,MODENA,50412,32661
1GNS6RKD5TR313354,2026,Chevrolet,Tahoe,RST,77000,10
YV4L12WK9T2171723,2026,Volvo,V60 Cross Country,Plus,55665,null
5TDESKFC5TS24D161,2026,Toyota,Sienna,Platinum,58519,0
JF2BUPAD1TY526247,2026,Subaru,Outback,Premium,34934,null
KNDRH4JGXT5489484,2026,Kia,Sorento,EX Hybrid,38248,11
1G6DS5RK2T0117020,2026,Cadillac,CT5,Premium Luxury,54795,null
5UX23EM0XT9427661,2026,BMW,X7,40i,99350,4
1FTBR1Y87SKA42008,2025,Ford,Transit Van,Base,49995,2
SADCJ2EU0MA668001,2021,Jaguar,F-Pace,S,31000,31523
2T3N1RFV3KW065868,2019,Toyota,RAV4,Limited,28366,58263
JM3KMCHA5T0107536,2026,Mazda,CX-5,S Preferred,36710,8
3TMLB5JN3TM19D331,2026,Toyota,Tacoma,TRD Off Road,52602,null
1FTFW3L88TKD66423,2026,Ford,F-150,XLT,57880,2
W1N4M4HBXTW485230,2026,Mercedes-Benz,GLB,GLB 250,55473,10
JM3KMCHA1T0156944,2026,Mazda,CX-5,S Preferred,36234,10
5FNYF9H57TB049952,2026,Honda,Passport,TrailSport,47368,4
5XYK53DF1TG436848,2026,Kia,Sportage,SX Prestige,35449,10
KL4AMCSL9TB186190,2026,Buick,Encore GX,Preferred,32815,5
1FMWK8GC5TGB03487,2026,Ford,Explorer,ST,59249,881
KMHL64JA2SA503001,2025,Hyundai,Sonata,SEL,24854,9474
WP1BG2AY5TDA61277,2026,Porsche,Cayenne Coup,GTS,163862,13
3TYLD5KN3ST011456,2025,Toyota,Tacoma,SR,35817,13175
1C4JJXR61NW185228,2022,Jeep,Wrangler Unlimited,Rubicon 4XE,29995,46947
YV4M12RM9T1360623,2026,Volvo,XC60,Ultra,62935,null
SALRL2FX2T2525948,2026,Land Rover,Discovery,Dynamic SE,null,1
1FMWK8GC4TGA87833,2026,Ford,Explorer,ST,60228,3008
WA15AAGU1T2032766,2026,Audi,Q5,Premium Plus,63223,0
